Name,Org,Pos,Current Level,Age,Top 100,Org Rk,Hit,Game,Raw,Spd,FV,PA,OBP,SLG,ISO,BB%,K%,wRC+,playerId
"Michael Perez","TBR","C","","27.6",,30,"45 / 50","30 / 35","45 / 45","40 / 40","40",22,0.318181818,0.526315789,0.315789474,0.136363636,0.272727272,120.89137901085725,"12977"
"Anthony Alford","TOR","CF","AA","26.4",,34,"35 / 35","40 / 40","60 / 60","70 / 70","35+",25,0.16,0.24,0.08,0,0.56,-2.194936018739106,"14329"
"Yu Chang","CLE","3B","","25.3222222",,35,"35 / 40","40 / 45","50 / 50","50 / 50","40",32,0.3125,0.483870967,0.193548387,0.03125,0.25,109.54331324126268,"14773"
"Justin Williams","STL","LF","AAA","25.3166666",,29,"40 / 45","40 / 50","60 / 60","40 / 40","35+",31,0.225806451,0.392857142,0.25,0.096774193,0.258064516,60.34687607720052,"15490"
"Reese McGuire","TOR","C","","25.7833333",,23,"45 / 50","20 / 35","45 / 45","30 / 30","40",21,0.238095238,0.4,0.2,0.047619047,0.38095238,64.9896159845257,"15674"
"Raudy Read","WSN","C","AAA","27.125",,18,"45 / 50","45 / 50","55 / 55","20 / 20","35+",13,0.307692307,0.545454545,0.363636364,0.153846153,0.23076923,120.55952978119034,"15766"
"Kean Wong","SFG","2B","","24.6",,27,"50 / 50","30 / 30","35 / 35","50 / 50","40",12,0.333333333,0.272727272,0,0.083333333,0.25,71.61762284924787,"15994"
"Michael Hermosillo","LAA","RF","","25.9083333",,18,"40 / 45","40 / 45","50 / 50","65 / 65","40",26,0.461538461,0.75,0.333333334,0,0.346153846,221.23756552784204,"16285"
"Nick Gordon","MIN","SS","AAA","25.1388888",,35,"40 / 45","30 / 40","50 / 50","55 / 55","35+",6,0.166666666,0.166666666,0,0,0.333333333,-15.897731033427837,"16337"
"Domingo Leyba","ARI","2B","AAA","25.2583333",,26,"55 / 60","30 / 30","40 / 40","45 / 45","40",17,0.294117647,0.5,0.25,0.058823529,0.117647058,106.96014806825822,"16404"
"Sergio Alcantara","DET","SS","MLB","24.4277777",,34,"45 / 50","20 / 20","30 / 30","55 / 55","35+",20,0.5,0.611111111,0.166666667,0.1,0.1,200.6939460061869,"16417"
"Thairo Estrada","NYY","SS","MLB","24.8111111",,39,"45 / 55","30 / 40","45 / 45","60 / 55","40",36,0.25,0.257142857,0.028571429,0.027777777,0.277777777,35.95554288645996,"16426"
"Jason Martin","PIT","RF","","25.275",,31,"45 / 50","40 / 45","50 / 50","50 / 50","40",25,0.28,0.333333333,0.083333333,0.04,0.24,63.209413286043535,"16429"
"Ryan McBroom","KCR","1B","","28.6805555",,24,"50 / 50","55 / 55","60 / 60","30 / 30","40",46,0.347826086,0.581395348,0.279069767,0.065217391,0.130434782,143.6264731383764,"16524"
"Mauricio Dubon","SFG","SS","MLB","25.4",,10,"55 / 60","30 / 35","40 / 40","50 / 50","45",34,0.323529411,0.575757575,0.272727272,0.029411764,0.205882352,134.4953933619835,"16530"
"Jason Vosler","SDP","3B","","27.2722222",,50,"40 / 40","50 / 50","60 / 60","30 / 30","35+",23,0.52173913,0.75,0.3,0.130434782,0.086956521,237.2335588344237,"16686"
"Brian O'Grady","TBR","CF","","27.8",,38,"35 / 35","50 / 50","55 / 55","55 / 55","35+",25,0.4,0.739130434,0.391304348,0.04,0.2,196.32084953391845,"16729"
"Jonah Heim","OAK","C","MLB","25.4638888",,13,"50 / 50","30 / 30","50 / 50","30 / 30","40",27,0.37037037,0.4,0.08,0.037037037,0.074074074,112.26057438905148,"16930"
"Lane Thomas","STL","CF","MLB","25.3083333",,8,"45 / 50","40 / 45","50 / 50","55 / 55","40+",41,0.414634146,0.5625,0.3125,0.219512195,0.195121951,160.42588701170308,"16939"
"Edmundo Sosa","STL","SS","MLB","24.7722222",,13,"45 / 50","30 / 35","45 / 45","50 / 50","40",45,0.295454545,0.435897435,0.205128205,0.066666666,0.111111111,91.76223533983892,"17022"
"Monte Harrison","MIA","CF","AAA","25.3444444",102,6,"40 / 45","40 / 45","65 / 65","60 / 60","50",30,0.466666666,0.52,0.16,0.166666666,0.266666666,170.51671099719422,"17216"
"Jorge Mateo","OAK","CF","MLB","25.475",,14,"35 / 40","40 / 45","55 / 55","80 / 80","40",32,0.375,0.23076923,0,0.1875,0.1875,83.52440086468287,"17273"
"Alex Jackson","ATL","C","MLB","24.1",,11,"35 / 40","50 / 55","70 / 70","30 / 30","45",19,0.157894736,0.058823529,0,0.052631578,0.47368421,-32.60910461631071,"17276"
"Bobby Bradley","CLE","DH","AAA","24.5416666",,27,"30 / 35","50 / 55","65 / 60","20 / 20","40",28,0.357142857,0.703703703,0.37037037,0.035714285,0.214285714,175.51123781490955,"17278"
"Luis Liberato","SEA","CF","","24.3",,33,"30 / 35","35 / 40","50 / 50","60 / 60","35+",11,0.272727272,0.111111111,0,0.181818181,0.363636363,24.382491642913347,"17307"
"Willi Castro","DET","SS","MLB","23.6388888",,14,"35 / 45","35 / 40","45 / 45","55 / 55","40",29,0.344827586,0.481481481,0.148148148,0.034482758,0.310344827,116.13267010443317,"17338"
"Yermin Mercedes","CHW","DH","AAA","27.8333333",,8,"60 / 60","50 / 50","60 / 60","30 / 30","40+",24,0.416666666,0.954545454,0.590909091,0.083333333,0.208333333,248.2289029225942,"17423"
"Jose Siri","SFG","CF","MLB","25.3944444",,28,"30 / 35","45 / 50","55 / 55","60 / 60","40",13,0.307692307,0.454545454,0.272727273,0.153846153,0.615384615,103.77306954080132,"17452"
"Kelvin Gutierrez","KCR","3B","","26.2944444",,16,"50 / 55","35 / 40","55 / 55","40 / 40","40",34,0.264705882,0.454545454,0.212121212,0.029411764,0.352941176,85.35704141644138,"17468"
"Kevin Kramer","PIT","2B","","27.1972222",,20,"45 / 50","40 / 45","45 / 45","40 / 40","40",31,0.387096774,0.24,0,0.129032258,0.258064516,91.12153249737706,"17689"
"Skye Bolt","OAK","CF","","26.9138888",,19,"40 / 40","40 / 45","50 / 50","60 / 60","40",23,0.391304347,0.388888888,0.166666666,0.217391304,0.304347826,118.6871661562541,"17723"
"Braden Bishop","SEA","CF","","26.6",,17,"40 / 40","40 / 40","50 / 50","70 / 70","40",13,0.23076923,0.09090909,0,0.153846153,0.384615384,3.187470563797845,"17806"
"Luis Alexander Basabe","CHW","CF","","24.3",,22,"35 / 45","35 / 45","50 / 50","60 / 60","40",18,0.388888888,0.266666666,0,0.166666666,0.333333333,94.14136717331716,"17839"
"Brendan Rodgers","COL","2B","","24.3472222",31,1,"55 / 60","50 / 60","55 / 55","45 / 45","55",7,0.428571428,0.428571428,0,0,0,137.29677721185877,"17907"
"Marcus Wilson","BOS","CF","","24.3305555",,25,"30 / 35","40 / 45","55 / 55","60 / 60","35+",20,0.3,0.421052631,0.157894737,0.05,0.35,91.57412192887206,"17910"
"Sam Hilliard","COL","CF","MLB","26.8138888",,5,"40 / 40","50 / 55","60 / 60","55 / 55","45",40,0.225,0.421052631,0.236842105,0.05,0.35,65.07547011404226,"17954"
"Tyler Stephenson","CIN","C","MLB","24.3277777",73,1,"45 / 50","40 / 45","65 / 65","30 / 30","50",22,0.5,0.75,0.375,0.181818181,0.045454545,216.5819922181254,"17988"
"Jake Cronenworth","SDP","SS/RHP","MLB","26.8972222",,9,"55 / 60","40 / 40","45 / 45","50 / 50","45",30,0.366666666,0.37037037,0.074074074,0.1,0.133333333,104.56130219220931,"18036"
"Garrett Stubbs","HOU","C","MLB","27.55",,29,"50 / 55","30 / 30","40 / 40","50 / 50","40",19,0.526315789,0.571428571,0.214285714,0.263157894,0.210526315,200.31087506354632,"18067"
"Austin Allen","OAK","C","","26.9111111",,12,"45 / 50","50 / 60","65 / 65","30 / 30","40+",36,0.416666666,0.617647058,0.235294117,0.055555555,0.166666666,175.9582548254276,"18083"
"LaMonte Wade Jr.","MIN","LF","MLB","26.9527777",,27,"45 / 45","30 / 35","45 / 45","50 / 50","40",26,0.423076923,0.38095238,0.095238095,0.192307692,0.153846153,128.886546012539,"18126"
"Edwin Rios","LAD","1B","","26.6472222",,29,"30 / 30","55 / 55","70 / 70","20 / 20","40",34,0.352941176,0.419354838,0.129032258,0.058823529,0.352941176,110.74169895008804,"18316"
"Daz Cameron","DET","CF","MLB","23.9138888",,9,"35 / 45","35 / 45","50 / 50","50 / 50","45",15,0.333333333,0.307692307,0.076923077,0.133333333,0.266666666,81.07499514253378,"18353"
"Lewin Diaz","MIA","1B","ST","24.0694444",119,7,"45 / 55","50 / 55","60 / 60","45 / 40","50",26,0.269230769,0.461538461,0.192307692,0,0.153846153,89.19150133971038,"18365"
"Ryan Mountcastle","BAL","LF","MLB","23.8222222",108,4,"50 / 55","45 / 55","60 / 60","45 / 40","50",35,0.228571428,0.4,0.171428572,0,0.257142857,60.42989545755098,"18373"
"Travis Blankenhorn","MIN","2B","","24.3638888",,24,"40 / 50","40 / 45","55 / 55","40 / 40","40",16,0.25,0.23076923,0.076923077,0.125,0.25,32.363455983700725,"18395"
"Chris Gittens","NYY","1B","","26.8611111",,52,"35 / 35","50 / 55","80 / 80","30 / 30","35+",28,0.25,0.25,0.125,0.142857142,0.607142857,41.08327090163488,"18482"
"Ali Sanchez","NYM","C","MLB","23.9",,23,"45 / 50","30 / 30","40 / 40","30 / 30","40",9,0.111111111,0.222222222,0.111111111,0,0.111111111,-22.659188202020573,"18551"
"Ke'Bryan Hayes","PIT","3B","MLB","23.8777777",30,1,"45 / 55","35 / 40","50 / 50","60 / 55","55",30,0.4,0.44,0.16,0.166666666,0.133333333,132.00427092246596,"18577"
"Jared Walsh","LAA","1B/LHP","","27.3722222",,25,"40 / 40","45 / 55","65 / 65","45 / 45","35+",28,0.357142857,0.391304347,0.173913043,0.107142857,0.321428571,109.13039216925849,"18607"
"Ramon Urias","BAL","2B","MLB","26.5305555",,23,"55 / 55","35 / 35","45 / 45","40 / 40","40",11,0.181818181,0.181818181,0,0,0.272727272,-7.0352388208906085,"18795"
"Jahmai Jones","LAA","2B","MLB","23.3611111",,11,"40 / 50","40 / 45","50 / 50","60 / 60","40+",24,0.208333333,0.375,0.166666667,0,0.375,47.67880104265978,"18872"
"Seby Zavala","CHW","C","MLB","27.2944444",,24,"30 / 30","40 / 45","55 / 55","30 / 30","40",14,0.285714285,0.416666666,0.25,0.142857142,0.357142857,87.30568666341017,"18887"
"Danny Mendick","CHW","SS","AAA","27.2111111",,14,"45 / 50","35 / 40","40 / 40","50 / 50","40",40,0.25,0.263157894,0.052631579,0.05,0.225,38.44319628720634,"18889"
"Lucius Fox","TBR","SS","","22.7",,27,"40 / 50","30 / 30","40 / 40","60 / 60","40",17,0.352941176,0.266666666,0,0.117647058,0.352941176,78.98058787802327,"18899"
"Leody Taveras","TEX","CF","MLB","21.5",,6,"35 / 55","30 / 35","50 / 50","60 / 60","45+",27,0.407407407,0.391304347,0.086956521,0.148148148,0.185185185,124.34554727472162,"18900"
"Yusniel Diaz","BAL","RF","","24.1861111",,6,"45 / 55","40 / 50","50 / 50","50 / 50","45",24,0.416666666,0.5,0.2,0.166666666,0.291666666,147.0607103717294,"18905"
"Estevan Florial","NYY","CF","","23.0527777",,8,"30 / 35","40 / 55","60 / 60","70 / 70","45",22,0.181818181,0.409090909,0.227272728,0,0.363636363,46.26118901070209,"19151"
"Corey Ray","MIL","CF","","25.7",,9,"30 / 35","40 / 45","60 / 60","70 / 70","40+",22,0.136363636,0.2,0.15,0.045454545,0.409090909,-11.382966750984808,"19170"
"Zack Collins","CHW","C","","25.8555555",,7,"40 / 45","45 / 55","65 / 65","20 / 20","40+",31,0.548387096,0.681818181,0.318181818,0.29032258,0.225806451,225.8712795448694,"19181"
"Trent Giambrone","CHC","2B","","26.5",,21,"40 / 40","45 / 45","50 / 50","55 / 55","40",30,0.5,0.625,0.166666667,0.133333333,0.333333333,194.48554370730534,"19250"
"Jake Fraley","SEA","LF","MLB","24.8",,15,"50 / 50","35 / 40","45 / 45","55 / 55","40",30,0.3,0.538461538,0.307692308,0.1,0.266666666,112.85321347719545,"19260"
"Randy Arozarena","TBR","CF","MLB","25.7888888",107,7,"50 / 55","35 / 40","45 / 45","55 / 60","50",29,0.586206896,0.55,0.15,0.310344827,0.068965517,215.5252046804915,"19290"
"Nick Solak","TEX","2B","MLB","25.2",109,2,"55 / 55","45 / 50","50 / 50","50 / 50","50",46,0.304347826,0.375,0.175,0.108695652,0.282608695,85.32073849599318,"19294"
"Eli White","TEX","2B","MLB","26.4666666",,37,"50 / 55","30 / 35","45 / 45","60 / 60","40",22,0.454545454,0.75,0.35,0.045454545,0.318181818,217.498109884963,"19346"
"DJ Peters","LAD","CF","","25.0055555",,20,"30 / 35","45 / 55","70 / 70","60 / 50","40",23,0.217391304,0.333333333,0.190476191,0.086956521,0.391304347,44.27595302041553,"19348"
"Sean Murphy","OAK","C","MLB","26.1777777",62,3,"50 / 55","40 / 45","60 / 60","20 / 20","50",14,0.428571428,0.636363636,0.363636364,0.142857142,0.285714285,180.2409825403568,"19352"
"Luke Raley","LAD","1B","MLB","26.2361111",,43,"35 / 40","40 / 45","60 / 60","55 / 50","35+",30,0.266666666,0.428571428,0.214285714,0,0.333333333,81.9361061345065,"19354"
"Austin Hays","BAL","CF","","25.4416666",,7,"45 / 50","45 / 50","60 / 60","55 / 55","45",40,0.3,0.294117647,0.088235295,0.1,0.2,64.98731357099729,"19363"
"Zach McKinstry","LAD","2B","MLB","25.625",,28,"50 / 50","35 / 40","45 / 45","55 / 55","40",31,0.451612903,0.862068965,0.448275862,0.032258064,0.193548387,241.45676215292747,"19392"
"Yonny Hernandez","TEX","SS","MLB","22.6111111",,28,"45 / 60","20 / 30","30 / 30","60 / 60","40",2,0.5,0,0,0.5,0,119.24473491098783,"19432"
"Jake Rogers","DET","C","MLB","25.6555555",,19,"30 / 40","40 / 50","50 / 50","40 / 40","40",8,0.5,1.285714285,0.857142857,0.125,0.25,341.4447957851031,"19452"
"Kyle Lewis","SEA","RF","","24.7",,8,"35 / 40","55 / 60","70 / 70","50 / 45","45",32,0.25,0.48275862,0.310344827,0.09375,0.21875,88.12457893297477,"19508"
"Andrew Knizner","STL","C","MLB","25.8638888",,6,"50 / 55","35 / 40","50 / 50","30 / 30","45",30,0.233333333,0.346153846,0.192307693,0.1,0.2,49.44277698903456,"19514"
"Andrew Young","ARI","2B","","26.5944444",,15,"45 / 50","45 / 55","55 / 55","40 / 40","40+",22,0.363636363,0.523809523,0.19047619,0.045454545,0.318181818,136.6441021993671,"19521"
"TJ Friedl","CIN","CF","MLB","25.3333333",,17,"45 / 55","30 / 35","40 / 40","70 / 70","40",8,0.75,0.8,0.2,0.375,0.125,309.38508816275254,"19522"
"Jaylin Davis","SFG","RF","AAA","25.4",,11,"40 / 40","50 / 55","65 / 65","60 / 60","40+",34,0.323529411,0.5,0.266666667,0.117647058,0.5,116.017745068291,"19552"
"Simon Muzziotti","PHI","CF","","21.9638888",,6,"35 / 60","30 / 35","40 / 45","60 / 60","45",9,0.444444444,0.375,0,0.111111111,0.333333333,133.28521225610967,"19553"
"Zack Short","CHC","SS","AAA","25",,20,"35 / 40","45 / 45","45 / 45","45 / 45","40",28,0.392857142,0.333333333,0.142857143,0.25,0.321428571,111.82269117739945,"19562"
"Chas McCormick","HOU","RF","MLB","25.6527777",,31,"50 / 50","45 / 50","55 / 55","50 / 50","40",27,0.148148148,0.346153846,0.230769231,0.037037037,0.185185185,21.379281637978238,"19599"
"Bryan De La Cruz","HOU","RF","MLB","23.9944444",,39,"45 / 50","35 / 40","50 / 50","50 / 50","35+",16,0.3125,0.733333333,0.466666667,0.0625,0.375,165.0631761146236,"19600"
"Otto Lopez","TOR","SS","MLB","22.2027777",,24,"35 / 55","20 / 30","40 / 45","60 / 60","40",6,0.333333333,0.666666666,0.333333333,0,0,158.79272613661323,"19608"
"Keibert Ruiz","LAD","C","MLB","22.4",88,5,"55 / 70","30 / 35","50 / 50","20 / 20","50",11,0.09090909,0.09090909,0,0,0.363636363,-60.21019209611405,"19610"
"Luis Barrera","OAK","RF","ST","25.0805555",,34,"40 / 45","30 / 35","50 / 50","70 / 70","35+",29,0.310344827,0.37037037,0.074074074,0.034482758,0.172413793,79.19116285243636,"19615"
"Brent Rooker","MIN","1B","MLB","26.1194444",,17,"35 / 40","50 / 60","65 / 65","40 / 40","40",25,0.4,0.333333333,0.047619048,0.12,0.24,111.47468879300227,"19627"
"Sheldon Neuse","OAK","3B","","26.0111111",,9,"35 / 40","35 / 55","60 / 60","40 / 40","40+",30,0.3,0.23076923,0,0.1,0.166666666,50.125727890619174,"19635"
"Daniel Johnson","CLE","RF","","25.425",,6,"45 / 50","40 / 45","55 / 55","70 / 70","45+",18,0.388888888,0.5,0.1875,0.111111111,0.166666666,138.10420848800212,"19643"
"Zach Reks","LAD","DH","","27.0888888",,42,"45 / 45","45 / 50","55 / 55","45 / 45","35+",27,0.555555555,0.684210526,0.315789474,0.296296296,0.222222222,228.12152231387893,"19667"
"Edward Olivares","SDP","CF","","24.7722222",,29,"45 / 50","40 / 45","50 / 50","55 / 55","40",23,0.391304347,0.681818181,0.318181818,0.04347826,0.173913043,180.40765248885734,"19698"
"Ronnie Dawson","HOU","CF","AAA","25.5694444",,24,"30 / 35","45 / 50","55 / 55","55 / 55","40",21,0.19047619,0.25,0.1,0.047619047,0.428571428,13.285831216860231,"19710"
"Rylan Bannon","BAL","3B","","24.6444444",,17,"50 / 55","40 / 45","45 / 45","50 / 50","40",15,0.466666666,0.666666666,0.333333333,0.2,0.4,198.37415526882438,"19768"
"Esteban Quiroz","TBR","2B","","28.1",,39,"55 / 55","35 / 40","45 / 45","40 / 40","35+",19,0.263157894,0.1875,0,0.052631578,0.368421052,28.961893912895388,"19780"
"Cody Thomas","LAD","RF","AAA","26.1833333",,25,"30 / 35","45 / 55","60 / 60","55 / 55","40",24,0.333333333,1.09090909,0.772727272,0.041666666,0.291666666,242.710864169214,"19828"
"Caleb Hamilton","MIN","C","","25.8583333",,41,"30 / 35","35 / 40","50 / 50","50 / 50","35+",8,0.375,0.714285714,0.428571429,0.125,0.25,179.6663406188896,"19842"
"Abraham Toro","HOU","3B","","23.9833333",,3,"50 / 55","45 / 50","55 / 55","60 / 60","45+",28,0.178571428,0.25,0.071428572,0,0.071428571,7.609164883308167,"19844"
"Riley Adams","TOR","C","MLB","24.4666666",,27,"30 / 40","40 / 50","60 / 60","30 / 30","40",11,0.272727272,0.727272727,0.454545455,0,0.454545454,152.7325701175182,"19864"
"Greg Deichmann","OAK","RF","","25.5388888",,30,"30 / 45","40 / 50","65 / 65","50 / 45","35+",26,0.346153846,0.52173913,0.260869565,0.115384615,0.423076923,129.84302803109327,"19872"
"Drew Ellis","ARI","3B","","25.0361111",,31,"35 / 45","45 / 55","60 / 60","40 / 30","40",10,0.5,0.714285714,0.428571429,0.2,0.1,216.03807225264921,"19873"
"Tristan Gray","TBR","1B","AAA","24",,34,"45 / 50","40 / 45","45 / 45","40 / 40","40",13,0.384615384,0.454545454,0.181818182,0.153846153,0.23076923,128.8080266443905,"19877"
"Pavin Smith","ARI","1B","MLB","24.8555555",,25,"45 / 55","40 / 45","50 / 50","40 / 40","40",23,0.434782608,0.428571428,0.047619048,0.086956521,0.173913043,140.59418236106947,"19892"
